Time,X_Position,Y_Position,Velocity_X,Velocity_Y
1748428323.987965,6.624883432936756,1.2249591229367667,6.3639610306789285,-3.8482489693210717
1748428324.0040104,6.726706809427619,1.1608757794276292,6.3639610306789285,-4.005208969321072
1748428324.0206668,6.828530185918481,1.0942810759184918,6.3639610306789285,-4.162168969321072
1748428324.0374794,6.936717523440023,1.0206891134400338,6.3639610306789285,-4.328938969321071
1748428324.0537567,7.038540899930885,0.9489147299308968,6.3639610306789285,-4.485898969321071
1748428324.0698476,7.146728237452426,0.8698193574524387,6.3639610306789285,-4.652668969321071
1748428324.0860012,7.248551613943289,0.7928652939433012,6.3639610306789285,-4.8096289693210705
1748428324.1028051,7.350374990434151,0.7133998704341641,6.3639610306789285,-4.96658896932107
1748428324.1183817,7.452198366925014,0.6314230869250271,6.3639610306789285,-5.12354896932107
1748428324.134724,7.554021743415876,0.5469349434158896,6.3639610306789285,-5.28050896932107
1748428324.1515796,7.6622090809374175,0.4543312009374309,6.3639610306789285,-5.4472789693210695
1748428324.1673577,7.76403245742828,0.36466337742829374,6.3639610306789285,-5.604238969321069
1748428324.1839528,7.872219794949822,0.266556224949836,6.3639610306789285,-5.771008969321069
1748428324.201396,7.980407132471362,0.16561398247137807,6.3639610306789285,-5.9377789693210685
1748428324.2177546,8.082230508962224,0.06809815896224052,6.3639610306789285,-6.094738969321068
1748428324.234473,8.190417846483767,-0.0,0,0
1748428324.2506025,8.190417846483767,-0.0,0,0
1748428324.2673085,8.190417846483767,-0.0,0,0
1748428324.2837558,8.190417846483767,-0.0,0,0
1748428324.300546,8.190417846483767,-0.0,0,0
1748428324.317169,8.190417846483767,-0.0,0,0
1748428324.3334067,8.190417846483767,-0.0,0,0
1748428324.349589,8.190417846483767,-0.0,0,0
1748428324.3660352,8.190417846483767,-0.0,0,0
1748428324.3831027,8.190417846483767,-0.0,0,0
1748428324.3999653,8.190417846483767,-0.0,0,0
1748428324.4162483,8.190417846483767,-0.0,0,0
1748428324.432637,8.190417846483767,-0.0,0,0
1748428324.4486933,8.190417846483767,-0.0,0,0
1748428324.4646127,8.190417846483767,-0.0,0,0
1748428324.4817984,8.190417846483767,-0.0,0,0
1748428324.4981902,8.190417846483767,-0.0,0,0
1748428324.5144968,8.190417846483767,-0.0,0,0
1748428324.53042,8.190417846483767,-0.0,0,0
1748428324.5473878,8.190417846483767,-0.0,0,0
1748428324.5635378,8.190417846483767,-0.0,0,0
1748428324.5797586,8.190417846483767,-0.0,0,0
1748428324.5963814,8.190417846483767,-0.0,0,0
1748428324.6126926,8.190417846483767,-0.0,0,0
1748428324.6285486,8.190417846483767,-0.0,0,0
1748428324.6455119,8.190417846483767,-0.0,0,0
1748428324.6615787,8.190417846483767,-0.0,0,0
1748428324.6773102,8.190417846483767,-0.0,0,0
1748428324.693626,8.190417846483767,-0.0,0,0
1748428324.710609,8.190417846483767,-0.0,0,0
1748428324.7273927,8.190417846483767,-0.0,0,0
1748428324.7434437,8.190417846483767,-0.0,0,0
1748428324.7599223,8.190417846483767,-0.0,0,0
1748428324.7770443,8.190417846483767,-0.0,0,0
1748428324.7931893,8.190417846483767,-0.0,0,0
1748428324.8103976,8.190417846483767,-0.0,0,0
1748428324.82698,8.190417846483767,-0.0,0,0
1748428324.843278,8.190417846483767,-0.0,0,0
1748428324.8590083,8.190417846483767,-0.0,0,0
1748428324.8765767,8.190417846483767,-0.0,0,0
1748428324.8926795,8.190417846483767,-0.0,0,0
1748428324.908523,8.190417846483767,-0.0,0,0
1748428324.9250345,8.190417846483767,-0.0,0,0
1748428324.9428208,8.190417846483767,-0.0,0,0
1748428324.9602442,8.190417846483767,-0.0,0,0
